Document Title,Authors,Publication Title,Publication Year,Abstract,DOI,PDF Link
"Software Engineering Education Must Adapt and Evolve for an LLM (Large
   Language Model) Environment","Kirova, Vassilka D. and Ku, Cyril S. and Laracy, Joseph R. and Marlowe,
   Thomas J.","PROCEEDINGS OF THE 55TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE
   EDUCATION, SIGCSE 2024, VOL. 1",2024,"In the era of artificial intelligence (AI), generative AI, and Large
   Language Models (LLMs) in particular, have become increasingly
   significant in various sectors. LLMs such as GPT expand their
   applications, from content creation to advanced code completion. They
   offer unmatched opportunities but pose unique challenges to the software
   engineering domain. This paper discusses the necessity and urgency for
   software engineering education to adapt and evolve to prepare software
   engineers for the emerging LLM environment. While existing literature
   and social media have investigated AI's integration into various
   educational spheres, there is a conspicuous gap in examining the
   specifics of LLMs' implications for software engineering education. We
   explore the goals of software engineering education, and changes to
   software engineering, software engineering education, course pedagogy,
   and ethics. We argue that a holistic approach is needed, combining
   technical skills, ethical awareness, and adaptable learning strategies.
   This paper seeks to contribute to the ongoing conversation about the
   future of software engineering education, emphasizing the importance of
   adapting and evolving to remain in sync with rapid advancements in AI
   and LLMs. It is hoped that this exploration will provide valuable
   insights for educators, curriculum developers, and policymakers in
   software engineering.",10.1145/3626252.3630927,
How ChatGPT Will Change Software Engineering Education,"Daun, Marian and Brings, Jennifer","PROCEEDINGS OF THE 2023 CONFERENCE ON INNOVATION AND TECHNOLOGY IN
   COMPUTER SCIENCE EDUCATION, ITICSE 2023, VOL 1",2023,"This paper discusses the potential for using generative AIs like ChatGPT
   in software engineering education. Currently, discussions center around
   potential threats emerging from student's use of ChatGPT. For instance,
   generative AI will limit the usefulness of graded homework dramatically.
   However, there exist potential opportunities as well. For example,
   ChatGPT's ability to understand and generate human language allows
   providing personalized feedback to students, and can thus accompany
   current software engineering education approaches. This paper highlights
   the potential for enhancing software engineering education. The
   availability of generative AI will improve the individualization of
   education approaches. In addition, we discuss the need to adapt software
   engineering curricula to the changed profiles of software engineers.
   Moreover, we point out why it is important to provide guidance for using
   generative AI and, thus, integrate it in courses rather than accepting
   the unsupervised use by students, which can negatively impact the
   students' learning.",10.1145/3587102.3588815,
"Integrating Conversational Large Language Models into Student Learning:
   A Case Study of ChatGPT in Software Engineering Education","Liu, Yi","2024 IEEE FRONTIERS IN EDUCATION CONFERENCE, FIE",2024,"This innovative practice full paper describes a pilot study exploring
   the integration of ChatGPT, a Conversational Large Language Model (LLM),
   into the student learning process in software engineering education,
   which emphasizes principles and methodologies in software development.
   Focused on a software engineering class, the study examines ChatGPT as a
   tool for problem clarification, modeling assistance, system design
   feedback, and implementation support in a project on modeling,
   designing, and implementing a solution using finite state processes and
   concurrent programming in Java. A survey designed for the case study
   collects insights into students' experiences with ChatGPT at different
   stages of the project. Student feedback on using ChatGPT and their
   performance on the project are analyzed to understand the impact of
   conversational LLMs on learning outcomes and to address whether there is
   room for improvement in enhancing the use of conversational LLMs in
   software engineering education.",10.1109/FIE61694.2024.10893046,
"Leveraging Open Source LLMs for Software Engineering Education and
   Training","Pereira, Juanan and Lopez, Juan-Miguel and Garmendia, Xabier and Azanza,
   Maider","2024 36TH INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING EDUCATION AND
   TRAINING, CSEE \& T 2024",2024,"Generative AI, particularly Large Language Models (LLMs), presents
   innovative opportunities to enhance software engineering education. Open
   source LLMs such as LLaMA and Mistral leverage the potential of
   generative AI offering distinct advantages over proprietary options
   including transparency, customizability, collaboration, and cost
   savings. This paper develops a catalog of LLM prompt examples tailored
   for software engineering training, mapped to knowledge areas from the
   Software Engineering Body of Knowledge (SWEBoK) framework. Example
   prompts demonstrate LLMs' capabilities in eliciting requirements,
   diagram generation, API simulation, effort estimation through
   role-playing, and other areas. The methodology involves evaluating
   prompt responses from ChatGPT, Mistral, and LLaMA on representative
   tasks. Quantitative and qualitative analysis assesses quality,
   usefulness, and correctness. Findings show ChatGPT and Mistral
   outperforming LLaMA overall, but no model perfectly executes complex
   interactions. We examine implications and challenges of integrating open
   source LLMs into classrooms, emphasizing the need for oversight,
   verification, and prompt design aligned with pedagogical objectives.",10.1109/CSEET62301.2024.10663055,
"Exploring the Potential Use of Generative AI in Software Engineering
   Education","Yabaku, Mounika and Pombo, Nuno and Ouhbi, Sofia","2024 IEEE 18TH INTERNATIONAL CONFERENCE ON APPLICATION OF INFORMATION
   AND COMMUNICATION TECHNOLOGIES, AICT 2024",2024,"The integration of Generative AI into software engineering education
   marks a transformative shift in teaching methodologies. This paper
   explores its potential, highlighting the benefits of enhancing student
   engagement, creativity, and efficiency while preparing them for industry
   challenges. Through a comprehensive analysis of 13 popular generative AI
   tools, we examine their roles in various software engineering tasks such
   as requirements analysis, design, coding, debugging, and testing. This
   paper contributes to the broader discourse on the future of software
   engineering education by offering evidence-based recommendations for
   leveraging generative AI to create adaptive and forward-thinking
   instructional strategies.",10.1109/AICT61888.2024.10740416,
"The Robots are Here: Navigating the Generative AI Revolution in
   Computing Education","Prather, James and Denny, Paul and Leinonen, Juho and Becker, Brett A.
   and Albluwi, Ibrahim and Craig, Michelle and Keuning, Hieke and Kiesler,
   Natalie and Kohn, Tobias and Luxton-Reilly, Andrew and MacNeil, Stephen
   and Petersen, Andrew and Pettit, Raymond and Reeves, Brent N. and
   Savelka, Jaromir","PROCEEDINGS OF THE 2023 WORKING GROUP REPORTS ON INNOVATION AND
   TECHNOLOGY IN COMPUTER SCIENCE EDUCATION, ITICSE-WGR 2023",2023,"Recent advancements in artificial intelligence (AI) and specifically
   generative AI (GenAI) are threatening to fundamentally reshape computing
   and society. Largely driven by large language models (LLMs), many tools
   are now able to interpret and generate both natural language
   instructions and source code. These capabilities have sparked urgent
   questions in the computing education community around how educators
   should adapt their pedagogy to address the challenges and to leverage
   the opportunities presented by this new technology. In this working
   group report, we undertake a comprehensive exploration of generative AI
   in the context of computing education and make five significant
   contributions. First, we provide a detailed review of the literature on
   LLMs in computing education and synthesise findings from 71 primary
   articles, nearly 80\% of which have been published in the first 8 months
   of 2023. Second, we report the findings of a survey of computing
   students and instructors from across 20 countries, capturing prevailing
   attitudes towards GenAI/LLMs and their use in computing education
   contexts. Third, to understand how pedagogy is already changing, we
   offer insights collected from in-depth interviews with 22 computing
   educators from five continents. Fourth, we use the ACM Code of Ethics to
   frame a discussion of ethical issues raised by the use of large language
   models in computing education, and we provide concrete advice for policy
   makers, educators, and students. Finally, we benchmark the performance
   of several current GenAI models/tools on various computing education
   datasets, and highlight the extent to which the capabilities of current
   models are rapidly improving.
   There is little doubt that LLMs and other forms of GenAI will have a
   profound impact on computing education over the coming years. However,
   just as the technology will continue to improve, so will our collective
   knowledge about how to leverage these new models and tools in
   educational settings. We expect many important conversations around this
   topic will emerge as the community explores how to provide more
   effective, inclusive, and personalised learning experiences. Our aim is
   that this report will serve as a focal point for both researchers and
   practitioners who are exploring, adapting, using, and evaluating GenAI
   and LLM-based tools in computing classrooms.",10.1145/3623762.3633499,
"Programming education and learner motivation in the age of generative
   AI: student and educator perspectives","Boguslawski, Samuel and Deer, Rowan and Dawson, Mark G.",INFORMATION AND LEARNING SCIENCES,2024,"PurposeProgramming education is being rapidly transformed by generative
   AI tools and educators must determine how best to support students in
   this context. This study aims to explore the experiences of programming
   educators and students to inform future education
   provision.Design/methodology/approachTwelve students and six members of
   faculty in a small technology-focused university were interviewed.
   Thematic analysis of the interview data was combined with data collected
   from a survey of 44 students at the same university. Self-determination
   theory was applied as an analytical framework.FindingsThree themes were
   identified - bespoke learning, affect and support - that significantly
   impact motivation and learning outcomes in programming education. It was
   also found that students are already making extensive use of large
   language models (LLMs). LLMs can significantly improve learner autonomy
   and sense of competence by improving the options for bespoke learning;
   fostering emotions that are conducive to engendering and maintaining
   motivation; and inhibiting the negative affective states that discourage
   learning. However, current LLMs cannot adequately provide or replace
   social support, which is still a key factor in learner
   motivation.Research limitations/implicationsIntegrating the use of LLMs
   into curricula can improve learning motivation and outcomes. It can also
   free educators from certain tasks, leaving them with more time and
   capacity to focus their attention on developing social learning
   opportunities to further enhance learner motivation.Originality/valueTo
   the best of the authors' knowledge, this is the first attempt to explore
   the relationship between motivation and LLM use in programming
   education.",10.1108/ILS-10-2023-0163,
Assessing ChatGPT's Proficiency in CS1-Level Problem Solving,"Sanchez, Mario and Herrera, Andrea","ADVANCES IN COMPUTING, CCC 2023",2024,"ChatGPT is an advanced large language model (LLM) capable of generating
   code to solve specific problems when presented with carefully designed
   prompts, among other capabilities. The existence of ChatGPT raises
   signifi-cant questions regarding teaching practices and evaluations
   within the dis-cipline. If ChatGPT can effectively solve exercises
   assigned to students, it prompts a reevaluation of the skills and
   knowledge that we teach and eval-uate. The objective of this paper is to
   assess the proficiency of ChatGPT in solving exercises commonly
   encountered in a CS1 course. This serves as an initial step in exploring
   the implications of ChatGPT for computer science education. By examining
   ChatGPT's performance and comparing it with real students, we aim to
   gain insights into its capabilities and limitations. Our evaluation
   encompasses a comprehensive examination of 125 problems specifically
   designed for CS1-level learners. The experiment revealed that ChatGPT
   successfully solved approximately 60\% of the provided prob-lems.
   Subsequently, we conducted a detailed analysis of the characteristics of
   the problems that ChatGPT could not solve, aiming to gain a deeper
   understanding of the nuances that make them challenging for LLMs. This
   study contributes to the ongoing discourse surrounding the integration
   of AI-based tools, such as ChatGPT, in computer science education, and
   high-lights the need for a reevaluation of educational objectives and
   methods employed in traditional educational institutions.",10.1007/978-3-031-47372-2\_7,
"Explore Public's Perspectives on Generative AI in Computer Science (CS)
   Education: A Social Media Data Analysis","Oh, Sunggyeol and Cao, Yi and Katz, Andrew and Zhao, Jialu","2024 IEEE FRONTIERS IN EDUCATION CONFERENCE, FIE",2024,"This research-to-practice full paper aims to analyze the public's
   comments on generative artificial intelligence (GAI) in computer science
   (CS) education, by the BERT-based model and Large Language Model (LLM)
   approaches to sentiment analysis and contextualize the results within
   broader educational and technological landscapes. Artificial
   intelligence (AI) has played a crucial role in advancing technical
   development throughout many areas. Evidence points toward the likelihood
   of major developmental breakthroughs unfolding soon in those sectors.
   Education is one such area. While there is certainly a possibility for
   hype and unfulfilled promises, the advent of available GAI platforms,
   such as ChatGPT, has caused a surge of scholarly interest in the impact
   of these technologies on CS education. Amid the growing debate, both the
   potential benefits and concerns of GAI in this sector are increasingly
   coming to the fore as people grapple with the tradeoffs associated with
   these technologies when applied in education settings. One can imagine
   the range of conversations around the topic, but that is difficult to
   use as input for policymakers and administrators without a more concrete
   understanding. To wit, there remain open questions about which benefits
   and concerns people tend to focus on when discussing GAI in education.
   This large-scale qualitative study addresses that gap by exploring the
   public's perspectives on GAI in CS education. We engage in this work by
   collecting and analyzing data from social media platforms, specifically
   Reddit comments. The social media dataset was analyzed using machine
   learning (ML) techniques to identify topics based on sentiment analysis.
   The study's objective was to document and characterize the public's
   perspectives concerning the general characteristics of GAI, its features
   related to learning, and its usability in educational settings. Through
   sentiment analysis using Large Language Models (LLM), the study revealed
   an overall positive public perception toward using generative AI in CS
   education, with over 57\% of comments being favorable, while also
   identifying prominent topics of interest and concerns, such as the
   potential benefits of personalized learning support and automated
   grading, as well as issues like academic dishonesty, perpetuation of
   biases, over-reliance on AI hindering critical thinking, displacement of
   human instructors, and the need for updated curricula. The insights
   gleaned from the analysis will be instrumental in computing educators
   gaining a more profound comprehension of GAI's role in education and the
   subsequent development of GAI-enriched curricula.",10.1109/FIE61694.2024.10893102,
CS1-LLM: Integrating LLMs into CS1 Instruction,"Vadaparty, Annapurna and Zingaro, Daniel and Smith, David H. and Padala,
   Mounika and Alvarado, Christine and Benario, Jamie Gorson and Porter,
   Leo","PROCEEDINGS OF THE 2024 CONFERENCE INNOVATION AND TECHNOLOGY IN COMPUTER
   SCIENCE EDUCATION, VOL 1, ITICSE 2024",2024,"The recent, widespread availability of Large Language Models (LLMs) like
   ChatGPT and GitHub Copilot may impact introductory programming courses
   (CS1) both in terms of what should be taught and how to teach it.
   Indeed, recent research has shown that LLMs are capable of solving the
   majority of the assignments and exams we previously used in CS1. In
   addition, professional software engineers are often using these tools,
   raising the question of whether we should be training our students in
   their use as well. This experience report describes a CS1 course at a
   large research-intensive university that fully embraces the use of LLMs
   from the beginning of the course. To incorporate the LLMs, the course
   was intentionally altered to reduce emphasis on syntax and writing code
   from scratch. Instead, the course now emphasizes skills needed to
   successfully produce software with an LLM. This includes explaining
   code, testing code, and decomposing large problems into small functions
   that are solvable by an LLM. In addition to frequent, formative
   assessments of these skills, students were given three large, open-ended
   projects in three separate domains (data science, image processing, and
   game design) that allowed them to showcase their creativity in topics of
   their choosing. In an end-of-term survey, students reported that they
   appreciated learning with the assistance of the LLM and that they
   interacted with the LLM in a variety of ways when writing code. We
   provide lessons learned for instructors who may wish to incorporate LLMs
   into their course.",10.1145/3649217.3653584,
