Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Generative AI in Programming Education: Evaluating ChatGPT’s Effect on Computational Thinking,SN Computer Science,,,,10.1007/s42979-025-04051-9,M. SivasakthiA. Meenakshi,2025,https://link.springer.com/article/10.1007/s42979-025-04051-9,Article
Artificial Intelligence for Computer Science Education in Higher Education: A Systematic Review of Empirical Research Published in 2003–2023,"Technology, Knowledge and Learning",,,,10.1007/s10758-025-09859-1,Meina ZhuKe Zhang,2025,https://link.springer.com/article/10.1007/s10758-025-09859-1,Article
Current Trends and Future Prospects of Large-Scale Foundation Model in K-12 Education,Frontiers of Digital Education,,,,10.1007/s44366-025-0059-6,Qiannan ZhuMei WangTing ZhangHua Huang,2025,https://link.springer.com/article/10.1007/s44366-025-0059-6,Article
"Risk management strategy for generative AI in computing education: how to handle the strengths, weaknesses, opportunities, and threats?",International Journal of Educational Technology in Higher Education,,,,10.1186/s41239-024-00494-x,Niklas Humble,2024,https://link.springer.com/article/10.1186/s41239-024-00494-x,Article
Exploring the Frontier of Software Engineering Education with Chatbots,Programming and Computer Software,,,,10.1134/S0361768824700774,C. A. Fernandez-y-FernandezE. Sánchez-SotoJ. R. Aguilar CisneroR. Juárez-Ramírez,2024,https://link.springer.com/article/10.1134/S0361768824700774,Article
Creating Terminological Correspondence Recognition Tests with GPT-4: A Case Study in English-to-Turkish Translations in the Engineering Domain,International Journal of Artificial Intelligence in Education,,,,10.1007/s40593-025-00465-x,Marina Sánchez-TorrónEgemen IpekVanessa Enríquez Raído,2025,https://link.springer.com/article/10.1007/s40593-025-00465-x,Article
BeGrading: large language models for enhanced feedback in programming education,Neural Computing and Applications,,,,10.1007/s00521-024-10449-y,Mina YousefKareem MohamedWalaa MedhatEnsaf Hussein MohamedGhada KhoribaTamer Arafa,2024,https://link.springer.com/article/10.1007/s00521-024-10449-y,Article
What are the differences between student and ChatGPT-generated pseudocode? Detecting AI-generated pseudocode in high school programming using explainable machine learning,Education and Information Technologies,,,,10.1007/s10639-025-13385-z,Zifeng LiuWanli XingXinyue JiaoChenglu LiWangda Zhu,2025,https://link.springer.com/article/10.1007/s10639-025-13385-z,Article
AI chatbots in programming education: guiding success or encouraging plagiarism,Discover Artificial Intelligence,,,,10.1007/s44163-024-00203-7,Gökhan AkçapınarElif Sidan,2024,https://link.springer.com/article/10.1007/s44163-024-00203-7,Article
Generative AI Tool in Learning an Introductory Programming: A Research Perspective,Artificial Intelligence Based Smart and Secured Applications,,,,10.1007/978-3-031-86296-0_10,M. SivasakthiA. Meenakshi,2025,https://link.springer.com/chapter/10.1007/978-3-031-86296-0_10,Conference paper
LLM examiner: automating assessment in informal self-directed e-learning using ChatGPT,Knowledge and Information Systems,,,,10.1007/s10115-024-02156-w,Nursultan AskarbekulyNenad Aničić,2024,https://link.springer.com/article/10.1007/s10115-024-02156-w,Article
Creative Learning Using Generative AI: Empowering Problem-Solving and Programming Skills,Human-Computer Creativity,,,,10.1007/978-3-031-86551-0_7,Randa Elanwar,2025,https://link.springer.com/chapter/10.1007/978-3-031-86551-0_7,Chapter
Can we Use GPT-4 as a Mathematics Evaluator in Education?: Exploring the Efficacy and Limitation of LLM-based Automatic Assessment System for Open-ended Mathematics Question,International Journal of Artificial Intelligence in Education,,,,10.1007/s40593-024-00448-4,Unggi LeeYoungin KimSangyun LeeJaehyeon ParkJin MunEunseo LeeHyeoncheol KimCheolil LimYun Joo Yoo,2024,https://link.springer.com/article/10.1007/s40593-024-00448-4,Article
Enhancing Student Feedback in Data Science Education: Harnessing the Power of AI-Generated Approaches,International Journal of Artificial Intelligence in Education,,,,10.1007/s40593-025-00492-8,Ivan LetteriPierpaolo Vittorini,2025,https://link.springer.com/article/10.1007/s40593-025-00492-8,Article
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Education and Information Technologies,,,,10.1007/s10639-025-13452-5,Manuel B. Garcia,2025,https://link.springer.com/article/10.1007/s10639-025-13452-5,Article
