Document Title,Authors,Publication Title,Publication Year,Abstract,DOI,PDF Link
"Exploring Large Language Model-Powered Pedagogical Approaches to
   Cybersecurity Education","Chhetri, Chola","PROCEEDINGS OF 2024 25TH ANNUAL CONFERENCE ON INFORMATION TECHNOLOGY
   EDUCATION, SIGITE 2024",2024,"The adoption of artificial intelligence (AI) technologies by businesses
   and corporations is rising. AI technologies continue to be adopted in
   cybersecurity for both defensive and offensive strategies. However,
   threat actors also persist in utilizing these technologies to enhance
   the speed, accuracy, and sophistication of their attacks. Hence, it is
   essential to train the next generation of cybersecurity learners not
   only on how to use AI technology but also on how to leverage these
   technologies to enhance the efficiency of their work. This extended
   abstract describes our exploratory work on the use of generative
   AI-based pedagogical approaches in cybersecurity education. This
   extended abstract will describe some preliminary findings on large
   language model-powered pedagogical approaches to cybersecurity education
   and training. These approaches will help cybersecurity educators enhance
   their teaching methods to equip learners with the essential skills
   needed to succeed in the dynamic field of cybersecurity.",10.1145/3686852.3686887,
"Integrating Prompt Structures Using LLM Embeddings for Cybersecurity
   Threats","Meda, Kavya Nikhita and Nara, Pavan Subhash Chandrabose and Bozenka,
   Svoboda and Zormati, Tarek and Turner, Seth and Worley, Wayne and Mitra,
   Reshmi","PROCEEDINGS OF THE 2025 ACM SOUTHEAST CONFERENCE, ACMSE 2025",2025,"This paper aims to develop a specialized Large Language Model (LLM) for
   cybersecurity training, designed to educate users on fundamental
   cybersecurity concepts. This paper focuses on creating an interactive
   system where users can ask questions about computer security and receive
   accurate, informative responses. By addressing cybersecurity as a
   critical national issue, the LLM empowers individuals and organizations
   to defend against malicious cyber threats. Our system was developed
   using Python, utilizing Google Sheets as a database, Gradio for the user
   interface, and Google Gemini's API for advanced language processing. The
   implementation followed a test-driven development approach, iterating
   between coding and testing to ensure functionality and reliability. Key
   technologies include Mistral's Large 2 model and embedding models for
   clustering related data. The Retrieval-Augmented Generation (RAG)
   framework was employed to integrate information retrieval with the LLM,
   enhancing its accuracy and relevance. Tools such as Google Suite, Colab,
   and Gradio contributed to creating a robust and user-friendly system.
   This paper highlights the potential of domain-specific LLMs, offering a
   practical solution to the growing need for accessible cybersecurity
   education and fostering awareness to mitigate the risks posed by
   malicious hackers.",10.1145/3696673.3723069,
"ChatGPT vs. Gemini: Comparative Evaluation in Cybersecurity
   Education with Prompt Engineering Impact","Nguyen, Thomas and Sayadi, Hossein","2024 IEEE FRONTIERS IN EDUCATION CONFERENCE, FIE",2024,"The advent of Large Language Models (LLMs) has revolutionized numerous
   domains, notably education, by offering powerful tools for personalized
   learning and automated assistance. These models have the potential to
   significantly enhance the educational experience, particularly in the
   field of Computer Science (CS), where the complexity and rapidly
   evolving nature of topics present unique challenges and opportunities.
   In this study, we present a comparative evaluation into the
   transformative potential of LLMs in CS education, with a specific focus
   on cybersecurity. Our study centers on two leading LLMs: OpenAI's
   ChatGPT and Google's Gemini Pro, employing a three-fold assessment
   methodology. Firstly, we analyze the subject matter within cybersecurity
   education to identify key topics and challenges for examination.
   Secondly, we meticulously assess and compare the efficacy of ChatGPT and
   Gemini across various factors in producing satisfactory responses.
   Lastly, we explore the impact of leveraging prompt engineering on
   enhancing the quality of responses generated by these AI tools. Through
   this holistic approach, our research aims to provide insights into the
   strengths, limitations, and potential avenues for enhancement of these
   models, thereby enriching the ongoing discourse on LLMs integration in
   higher education.",10.1109/FIE61694.2024.10893499,
"Collaborate, Design, and Generate Cybercrime Script Tabletop Exercises
   for Cybersecurity Education","Dwighta, Joshua","31ST INTERNATIONAL CONFERENCE ON COMPUTERS IN EDUCATION, ICCE 2023, VOL
   II",2023,"Cyber incidents are frequent, urgent, and sophisticated, and there is a
   global shortage of cybersecurity professionals. The demand for
   cybersecurity graduates is high, and a key priority for universities is
   improving successful graduate outcomes, employability, and work
   readiness. This research paper proposes a novel teaching approach to
   develop the skills and experience of higher education students for
   cybersecurity roles. The approach synthesizes problem-based learning,
   work-integrated learning, tabletop exercises, and crime script analysis.
   The paper presents a theoretical model based on the National Institute
   of Standards and Technology (NIST) Test, Training, and Exercise (TT\&E)
   methodology and suggests using Generative AI for the development of
   draft documentation. The Cybercrime Script Tabletop Exercise can be
   integrated into a cybersecurity curriculum or as a stand-alone workshop.
   Future research can be conducted to compare, interview, and observe
   student outcomes such as skill and experience acquisition, work-life
   awareness, and levels of industry professional involvement.",,
"Advancing Digital Forensics Education With Generative AI for Sustainable
   Development Goals","Hussain, Naziya and Junnarkar, Aparna Atul and Gowda, V. Dankan and
   Kawale, Sheetalrani R. and Swetha, K. R.","INTEGRATING GENERATIVE AI IN EDUCATION TO ACHIEVE SUSTAINABLE
   DEVELOPMENT GOALS",2024,,10.4018/979-8-3693-2440-0.ch012,
"Deep HoriXons-3D Virtual Generative AI Assisted Campus for Deep Learning
   AI and Cybersecurity","Williams, R.",DISRUPTIVE TECHNOLOGIES IN INFORMATION SCIENCES VIII,2024,,10.1117/12.3011374,
"Interactive Framework for Cybersecurity Education and Future Workforce
   Development","Ghimire, Sujan and Chowdhury, Muhtasim Alam and Tsang, Ryan and Yarnell,
   Richard and Heckert, Emma and Carpenter, Jaeden and Lin, Yu-Zheng and
   Mamun, Muntasir and DeMara, Ronald F. and Rafatirad, Setareh and Satam,
   Pratik and Salehi, Soheil","2024 IEEE FRONTIERS IN EDUCATION CONFERENCE, FIE",2024,"This research-to-practice paper presents a novel pedagogical tool for
   hardware cybersecurity education and workforce development. The growing
   importance of hardware security has made it essential for individuals
   and organizations to understand hardware security principles and best
   practices. However, the current educational curriculum falls short of
   fulfilling these emerging demands due to the rapidly changing hardware
   security landscape and limited opportunities for hands-on training. To
   address these challenges, we propose and have developed the Interactive
   Hardware and Cybersecurity (I-HaC) Educational Framework, a pedagogical
   educational framework that supplements existing courses by leveraging
   generative AI for individualized instruction related to hardware and
   cybersecurity, data mining, and applied Machine Learning (ML), as well
   as data visualization to enhance cybersecurity education and workforce
   development. The framework is designed to be utilized by graduate and
   undergraduate Electrical and Computer Engineering (ECE) and Computer
   Science (CS) students for a comprehensive introduction to cybersecurity
   exploits and countermeasures in an interactive manner with hands-on
   components. Using I-HaC, we have developed tailored lab components for a
   diverse range of students and intend to release I-HaC as open-source for
   the benefit of the ECE and CS education community.",10.1109/FIE61694.2024.10892909,
Innovating Cybersecurity Education Through AI-augmented Teaching,"Simmons, Ryan T. and Park, Joon S.","PROCEEDINGS OF THE 23RD EUROPEAN CONFERENCE ON CYBER WARFARE AND
   SECURITY, ECCWS 2024",2024,"In traditional teaching frameworks, instructors face significant
   obstacles in offering current and synchronized learning materials and
   examples, especially when the course is taught by multiple instructors.
   This situation can affect the quality of the course's learning outcomes.
   These challenges become more pronounced in today's higher education,
   because of the heightened complexity arising from the need to cover a
   range of course materials, diverse student backgrounds, varying skill
   levels, and different student expectations-all within the constraints of
   a fixed teaching and learning schedule. Furthermore, due to resource
   constraints, not every instructor has the availability of a teaching
   assistant (TA). Especially, while the demand for cybersecurity continues
   to rise, the dynamic nature of the cybersecurity field leads to the
   frequent emergence of new issues and incidents. To address these
   challenges, we examine the capabilities of generative AI to innovate
   teaching techniques and methods for cybersecurity curricula. We further
   explore the novel challenges introduced by generative AI, including
   issues related to privacy, data ownership, transparency, and other
   associated concerns, underscoring the need for comprehensive solutions.
   Our work further examines the teaching and learning capabilities of
   dynamically generated, up-to-date class materials in a personalized
   study environment augmented by AI. The adaptability of AI-augmented
   teaching across various disciplines will bring innovation to higher
   education, catering to diverse student backgrounds and learning needs,
   thereby enriching the educational experience.",,
"The Potential of Generative AI Chatbots as Career Advisors in
   Cybersecurity: Professionals' Perspectives","Koukou, Chrysanthi and Stavrou, Eliana","INFORMATION SECURITY EDUCATION-CHALLENGES IN THE DIGITAL AGE, WISE 2024",2024,"The introduction of generative AI chatbots as career advisors in the
   cybersecurity domain represents a promising intersection of technology
   and career development. By addressing the critical skills gap, offering
   solutions to career progression challenges, and providing personalized,
   accessible guidance, AI chatbots hold the potential to significantly
   impact the professional landscape. This work investigates cybersecurity
   professionals' perceptions of using AI chatbots for career advising.
   Investigations focus on professionals' attitudes toward these chatbots,
   examining their trust in the advice offered, their belief in the
   chatbots' capability to provide valuable career guidance, and the
   features they consider that can be supported by AI-powered career
   advisors in cybersecurity. The analysis seeks to enhance understanding
   of the role generative AI chatbots could play in advancing career
   development within the cybersecurity field, aiming to address the skills
   gap challenge faced by the sector. By evaluating these insights, the
   paper aims to highlight the potential contributions of generative AI
   chatbots to professional growth and development in cybersecurity.",10.1007/978-3-031-62918-1\_13,
"Revolutionizing Social Engineering Awareness Raising, Education and
   Training: Generative AI-Powered Investigations in the Maritime Domain","Loupasakis, Michail and Potamos, Georgios and Stavrou, Eliana","HCI FOR CYBERSECURITY, PRIVACY AND TRUST, PT II, HCI-CPT 2024",2024,"Innovation in generative Artificial Intelligence (AI) has already been
   leveraged by cybercriminals to deliver AI-powered social engineering
   attacks, specifically phishing. This advancement adds to the challenges
   the cybersecurity community is facing, such as lack of motivation to
   change unsafe behaviors and low engagement with awareness raising,
   education and training activities. Often, the problem is attributed to
   the fact that activities communicate the same message across different
   audiences. This approach is not helpful to assist people relating to the
   problem, realizing the threat and how it can be transformed. To build
   cyber resilience against phishing, the workforce needs to realize how
   phishing can be delivered in the context of their working environment
   and what aspects a cybercriminal can leverage to make the attack more
   realistic and plausible. This requires the design of awareness raising,
   education and training activities that can deliver highly tailored and
   context-aware messages to different audiences, considering their job
   role and responsibilities. Generative AI has already demonstrated an
   ability of high degree of creativity which is imperative for creating
   tailored and effective awareness raising and training content. This
   study investigates how generative AI can be leveraged by stakeholders,
   such as educators and trainers, to develop phishing-tailored attack
   scenarios. The scenarios can be embedded in awareness raising and
   training activities that can be delivered e.g. over cyber ranges, aiming
   to enhance the workforce's cyber resilience against phishing attacks.
   Investigations are performed in the context of the maritime domain.",10.1007/978-3-031-61382-1\_5,
