Document Title,Authors,Publication Title,Publication Year,Abstract,DOI,PDF Link
Exploring Large Language Model-Powered Pedagogical Approaches to Cybersecurity Education,"Chhetri, Chola",Proceedings of the 25th Annual Conference on Information Technology Education,2024,"The adoption of artificial intelligence (AI) technologies by businesses and corporations is rising. AI technologies continue to be adopted in cybersecurity for both defensive and offensive strategies. However, threat actors also persist in utilizing these technologies to enhance the speed, accuracy, and sophistication of their attacks. Hence, it is essential to train the next generation of cybersecurity learners not only on how to use AI technology but also on how to leverage these technologies to enhance the efficiency of their work. This extended abstract describes our exploratory work on the use of generative AI-based pedagogical approaches in cybersecurity education. This extended abstract will describe some preliminary findings on large language model-powered pedagogical approaches to cybersecurity education and training. These approaches will help cybersecurity educators enhance their teaching methods to equip learners with the essential skills needed to succeed in the dynamic field of cybersecurity.",10.1145/3686852.3686887,https://doi.org/10.1145/3686852.3686887
Enhancing Cybersecurity Education with Artificial Intelligence Content,"Brito, Fernando and Mekdad, Yassine and Ross, Monique and Finlayson, Mark A. and Uluagac, Selcuk",Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1,2025,"Artificial Intelligence (AI) has become a fundamental tool for cybersecurity researchers and practitioners. It is frequently used to address major security problems such as supply chain attacks, ransomware threats, and social engineering. In this context, integrating AI into cybersecurity workflows requires incorporating AI-driven approaches into the educational training of the cybersecurity workforce. This paradigm shift in academic settings will introduce the necessary skills for cybersecurity professionals to operate modern AI-based systems. Yet, the current cybersecurity curriculum still suffers from the absence of AI resources, particularly the detailed understanding of the appropriate AI mechanisms. Such absence leaves skill gaps for future professionals and practitioners in the industry. To address this, we designed an academic lecture module on AI covering both theory and practice. Then, we taught the module across six cybersecurity courses in our institution. To assess the effectiveness of integrating AI materials into cybersecurity education, we collected data by presenting two surveys before and after the lecture (concluding 81 participants per survey). Specifically, we utilized widely accepted models for unbiased analysis of our data. Our experimental results show positive AI knowledge improvement by 30% of the participants, demonstrating the beneficial impact of the lecture. Then, we observed a high similarity score between the survey responses and the lecture content, reaching 84%. Moreover, our sentiment analysis results reflect positive feedback from the participants with a positive score of 0.50. Overall, our study serves as a reference for instructional designers for developing educational curricula aiming to integrate AI into cybersecurity education.",10.1145/3641554.3701958,https://doi.org/10.1145/3641554.3701958
Enhancing Cybersecurity Curriculum Development: AI-Driven Mapping and Optimization Techniques,,"Proceedings of the 19th International Conference on Availability, Reliability and Security",2024,"Cybersecurity has become important, especially during the last decade. The significant growth of information technologies, internet of things, and digitalization in general, increased the interest in cybersecurity professionals significantly. While the demand for cybersecurity professionals is high, there is a significant shortage of these professionals due to the very diverse landscape of knowledge and the complex curriculum accreditation process. In this article, we introduce a novel AI-driven mapping and optimization solution enabling cybersecurity curriculum development. Our solution leverages machine learning and integer linear programming optimization, offering an automated, intuitive, and user-friendly approach. It is designed to align with the European Cybersecurity Skills Framework (ECSF) released by the European Union Agency for Cybersecurity (ENISA) in 2022. Notably, our innovative mapping methodology enables the seamless adaptation of ECSF to existing curricula and addresses evolving industry needs and trend. We conduct a case study using the university curriculum from Brno University of Technology in the Czech Republic to showcase the efficacy of our approach. The results demonstrate the extent of curriculum coverage according to ECSF profiles and the optimization progress achieved through our methodology.",10.1145/3664476.3670467,https://doi.org/10.1145/3664476.3670467
Developing a Modular Cloud-Based Kubernetes Powered Framework for Scalable Cybersecurity Education,"Selikow, Ryder and Berol, Nate and Cook, Jack and Weiss, Richard and Mache, Jens",Proceedings of the 2024 on ACM Virtual Global Computing Education Conference V. 2,2024,"We explore building a Kubernetes-powered, cloud-based cybersecurity education platform and framework named 'EDURange Cloud'. It allows instructors to efficiently design and host their own cybersecurity competitions and exercises. The benefits of this system include enhanced security through isolated instances, cost-effective scaling that adjusts resources based on demand, and the agility to deploy or update challenges rapidly. Originally focused primarily on hosting Capture The Flag (CTF) competitions, the scope of EDURange Cloud will include support for cybersecurity demos and other educational exercises. This evolution will allow for a broader range of educational opportunities within the platform.EDURange Cloud was created as a distributed cloud alternative to the existing EDURange software, leveraging the power of Kubernetes to create an efficient and highly modular cybersecurity education framework. In addition to providing better load balancing and achievement tracking, EDURange Cloud extends the existing project by enabling full GUI desktop environments that are also much more easily customizable compared to command-line restricted exercises. The continued development of this platform could provide a new format for a wide range of hands-on exercises, going beyond just cybersecurity.",10.1145/3649409.3691088,https://doi.org/10.1145/3649409.3691088
Integrating ChatGPT in Cybersecurity Education: Use Cases and Implications,"Hamdan, Basil",J. Comput. Sci. Coll.,2024,"This paper examines the integration of ChatGPT into cybersecurity courses, emphasizing practical applications and ethical considerations within educational settings. Through use case in malware development and web application security, the study explores ChatGPT's dual role in cybersecurity education. It addresses ethical AI behavior, challenges in contextual awareness, and the risks associated with AI-generated content misuse. This paper aims to provide educators with insights to navigate the complexities of AI-enhanced cybersecurity education effectively.",,
CyberSecurity Education for Industry and Academia (CSE4IA 2024),"Barletta, Vita Santa and Caruso, Federica and Di Mascio, Tania and Greco, Francesco and Islam, Tasmina and Rossano, Veronica and Xiao, Hannan",Proceedings of the 2024 International Conference on Advanced Visual Interfaces,2024,"The cybersecurity domain faces a critical disparity between the escalating demand for skilled professionals and the limited talent pool. This gap is primarily driven by the surge in cyberattacks perpetrated by malicious actors seeking financial gain or disruption. These attacks, encompassing tactics like Distributed Denial-of-Service (DDoS) and ransomware, pose significant threats to data security and public safety. To bridge this gap, several challenges must be addressed. We need to prioritize initiatives that enhance people’s awareness and education in cybersecurity. Additionally, exploring innovative training methods and leveraging technology to equip cybersecurity professionals with the necessary skillsets is crucial. Like the last edition, the goal of this workshop remains to empower individuals to make informed decisions regarding cybersecurity education, navigate diverse career paths, and recognize the alignment between their acquired skills and industry demands. These novel educational methodologies will also equip professionals with a deeper understanding of cybersecurity risks and the expertise required to develop robust and secure technological solutions. Thinking about students, teachers, and professionals as the people who need to learn about cybersecurity, the aim of this workshop is to talk about how we can better match the companies’ demand (workplace, recruitment) and supply (qualification, training). We aim to raise awareness among these learners, help identify the crucial skills that are required for their work and encourage a more unified approach to teaching and training in cybersecurity.",10.1145/3656650.3660536,https://doi.org/10.1145/3656650.3660536
Supplement to CSEC 2017: Foundational Cybersecurity Content and Instructional Guidance for Secondary and Postsecondary Cybersecurity Education,"Bishop, Matt and Cerrone, Beth and Dai, Jun and Dark, Melissa and Daugherty, Jenny and Huff, Philip and Tang, Cara and Tucker, Cindy",,2025,"This curriculum project involved a review of the Cybersecurity Curricula 2017 (CSEC 2017) guidelines and recommendation of learning outcomes that support foundational collegiate-level courses and upperlevel high school cybersecurity offerings, comparable to Advanced Placement (AP) content. The primary goal of this document is to provide a foundational cybersecurity education framework that can be implemented by both post-secondary institutions and high schools. These guidelines aim to bridge the gap between secondary and post-secondary education in cybersecurity to support broad transferability across institutions and ensure continuity for students.",,
Assessing the Impact of Large Language Models on Cybersecurity Education: A Study of ChatGPT's Influence on Student Performance,"Ohm, Marc and Bungartz, Christian and Boes, Felix and Meier, Michael","Proceedings of the 19th International Conference on Availability, Reliability and Security",2024,"The popularity of chatbots to facilitate day-to-day business, including students and their study exercises, is on the rise. This paper investigates the extent and effects on the academic performance of students that leverage such tools. While many other approaches are hypothesized and discussed, we measure empirically. We recorded and compared the performance of cybersecurity students in weekly exercises and final exams over a period of three years. This allows us to have three groups with varying degrees of ChatGPT influence, namely no access, uncontrolled access, and controlled access. In an anonymous survey, we found that approximately 80% of our students utilize ChatGPT during the weekly assignments in 2023. However, none of them indicated this on their submission, despite it being a mandatory requirement. Through statistical analysis of achieved points in our sample groups, we identified that students perform similarly on the weekly assignments. However, their performance on the final examination deteriorates.",10.1145/3664476.3670446,https://doi.org/10.1145/3664476.3670446
Proactive Curriculum for Cyber Security Education: A Model of Micro-Credentials and Active Blended Learning,"Eibl, Gregor and Jungbauer, Christoph and Litvyak, Olga and Volkl, Peter and Luidold, Christian",Proceedings of the Central and Eastern European EDem and EGov Days 2024,2024,"The landscape of cyber-attacks is rapidly evolving and increasing in variety and frequency. The demand for cyber security expertise, coupled with a shortage of qualified professionals, underscores the urgent need for comprehensive training programs and curriculum development. This paper identifies the resulting needs and describes how they can be translated into a highly adaptive approach to curriculum design that allows cybersecurity education to be more responsive to ever-changing threats and countermeasures through an activity and problem-based paradigm based on micro-credentials and flexible delivery. This approach provides a valuable model for other educational institutions seeking to provide their students with the necessary skills to navigate and succeed in the complex field of cyber security. The SHIFT project is an example of how targeted educational strategies, supported by robust research and industry collaboration, can significantly improve cybersecurity education and illustrates the approach through the current implementation of the concept at Ferdinand Porsche FERNFH.",10.1145/3670243.3673882,https://doi.org/10.1145/3670243.3673882
Evolving Cybersecurity Education: An Analysis of the GenCyber Teacher Academy's Progression from 2022 to 2023 and Beyond,"Radday, Elizabeth A. and Mekni, Mehdi and Page, Liberty and Sula, Ardiana and Brown, Laura",J. Comput. Sci. Coll.,2024,"The GenCyber Teacher Academy (GTA) stands as a pioneering professional development initiative, empowering Connecticut's high school educators in diverse STEM fields to explore and integrate cybersecurity concepts into their teaching. The inaugural 2022 edition facilitated inquiry-based learning and collaborative discourse on GenCyber Cybersecurity Concepts. However, program evaluation uncovered areas for curriculum enhancement. This paper delineates the evaluation process, curriculum revisions, and their implementation outcomes. Findings demonstrate that the revised 2023 GTA fostered improved teacher engagement with modules, enhancing their ability to integrate cybersecurity principles while prioritizing online safety. Notably, the revised GTA fortified the sustainable GenCyber Teacher Academy Teaching and Learning Community, bolstering a network of educators and practitioners destined to collectively mold Connecticut's cybersecurity landscape.",,
