Item Title,Publication Title,Item DOI,Authors,Publication Year,URL
"Sticks and stones may break my bones, but words will never hurt me!?€?Navigating the cybersecurity risks of generative AI",AI & SOCIETY,10.1007/s00146-024-01934-y,Abdur Rahman Bin ShahidAhmed Imteaj,2024,https://link.springer.com/article/10.1007/s00146-024-01934-y
Accessible Cybersecurity Education Using Prompt Tree,Computer Applications in Industry and Engineering,10.1007/978-3-031-76273-4_9,Pavan Subhash Chandrabose NaraReshmi MitraIndranil RoyT. Robin Cole III,2025,https://link.springer.com/chapter/10.1007/978-3-031-76273-4_9
Large Language Models for&#xa0;Cybersecurity Education: A Survey of&#xa0;Current Practices and&#xa0;Future Directions,Data Science: Foundations and Applications,10.1007/978-981-96-8295-9_1,Nan SunYuantian MiaoXiaoxing MoJun Zhang,2025,https://link.springer.com/chapter/10.1007/978-981-96-8295-9_1
A new research agenda for African generative AI,Nature Human Behaviour,10.1038/s41562-023-01735-1,Rachel AdamsAyantola AlayandeZameer BreyBrantley BrowningMichael GastrowJerry John KponyoDona MathewMoremi NkosiHenry Nunoo-MensahDiana NyakundiVictor OdumuyiwaOlubunmi OkunowoPhilipp OlbrichNawal OmarKemi OmotuboraPaul PlantingaGabriella RazzanoZara SchroederAndrew Selasi AgbemenuAraba SeyKristophina ShilongoShreya ShirudeMatthew SmithEric Tutu TchaoDavy K. Uwizera,2023,https://link.springer.com/article/10.1038/s41562-023-01735-1
Leveraging EUD and&#xa0;Generative AI for&#xa0;Ethical Phishing Campaigns,End-User Development,10.1007/978-3-031-95452-8_16,Bernardo BrevePaolo BuonoLoredana CaruccioFederico Maria CauGaetano CiminoGiuseppe DesoldaVincenzo DeufemiaRosa LanzilottiLucio Davide SpanoCesare Tucci,2025,https://link.springer.com/chapter/10.1007/978-3-031-95452-8_16
Experiential Learning Through Immersive XR: Cybersecurity Education for&#xa0;Critical Infrastructures,"HCI for Cybersecurity, Privacy and Trust",10.1007/978-3-031-61382-1_4,Anthony LeeKenneth KingDenis Gra??aninMohamed Azab,2024,https://link.springer.com/chapter/10.1007/978-3-031-61382-1_4
"Exploring the Safe Integration of Generative AI in Cybersecurity Education Addressing Challenges in Transparency, Accuracy, and Security",Advances in Teaching and Learning for Cyber Security Education,10.1007/978-3-031-77524-6_1,Arunima ChaudharyAmir JavedWalter ColomboFernando Alva Manchego,2024,https://link.springer.com/chapter/10.1007/978-3-031-77524-6_1
Enhancing Security Awareness and Education for LLMs,Large Language Models in Cybersecurity,10.1007/978-3-031-54827-7_18,Sebastiano Panichella,2024,https://link.springer.com/chapter/10.1007/978-3-031-54827-7_18
Developing a multi-layer agent framework to enhance AI-generated educational questions for cybersecurity,Journal of Umm Al-Qura University for Engineering and Architecture,10.1007/s43995-025-00136-x,Aziz Alshehri,2025,https://link.springer.com/article/10.1007/s43995-025-00136-x
Cybersecurity Education and Training,Cybersecurity Education and Training,10.1007/978-981-96-0555-2_2,Razvan Beuran,2025,https://link.springer.com/chapter/10.1007/978-981-96-0555-2_2
