Document Title,Authors,Publication Title,Publication Year,Abstract,DOI,PDF Link
The Role of Generative AI in Qualitative Research: GPT-4's Contributions to a Grounded Theory Analysis,"Sinha, Ravi and Solola, Idris and Nguyen, Ha and Swanson, Hillary and Lawrence, LuEttaMae","Proceedings of the 2024 Symposium on Learning, Design and Technology",2024,"We present reflections on our experience using a generative AI model in qualitative research, to illuminate the AI's contributions to our analytic process. Our analytic focus was a segment of classroom transcript, which captured a teacher introducing scientific theory-building practices to middle school students. We used a grounded theory approach to produce a fine-grained characterization of the teacher's talk moves during the lesson implementation. Our eventual goal is to build a more nuanced conceptualization of responsive teaching in the context of theory-building activities. We involved GPT-4 during the initial exploratory and later focused coding stages. For our analysis of GPT-4’s contributions to the analytic process, we analyzed our notes and analytic memos, along with video recordings of meetings where we discussed insights in response to GPT-4’s input. We present vignettes to illustrate pivotal moments where AI contributed to the coding process, including code generation, comparison, and refinement. The paper presents our experiences of conducting qualitative research in partnership with generative AI, underscoring the role that emerging technologies can play in the analysis of data and the development of grounded theory.",10.1145/3663433.3663456,https://doi.org/10.1145/3663433.3663456
Scaffolding Creativity: Integrating Generative AI Tools and Real-World Experiences in Business Education,"Wang, Nicole C.",Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,2025,"This exploratory study investigates the intersection of Generative AI tools and experiential learning in business education. Through a case study of an innovative undergraduate course, we examine how students interact with and adapt to various AI modalities—from text-based tools to image generation—alongside real-world experiences. Our findings reveal how this integrated approach enables novice users to overcome creative barriers, accelerates skill acquisition, and creates a dynamic interplay between AI-generated insights and real-world validation. We identify critical interaction challenges, including prompt engineering patterns and the need for more intuitive AI interfaces in educational contexts. These insights inform the design of future AI tools for creative learning and contribute to broader HCI discussions about human-AI collaboration in educational settings.",10.1145/3706599.3720283,https://doi.org/10.1145/3706599.3720283
Future Business Workforce: Crafting a Generative AI-Centric Curriculum Today for Tomorrow's Business Education,"Nithithanatchinnapat, Benyawarath and Maurer, Joshua and Deng, Xuefei (Nancy) and Joshi, K. D.",SIGMIS Database,2024,"In an era where generative AI is reshaping the landscape of business and technology, this editorial addresses the critical imperative for transformative reform in business education. It emphasizes the dual nature of generative AI as both a formidable disruptor and a catalyst for innovation, necessitating a shift in how we educate the future workforce. The editorial calls for a proactive and comprehensive reevaluation of current educational models, advocating for an integration of AI literacy and ethical considerations into the core of business curricula. We aim to galvanize academia into action, advocating for an educational evolution that not only acknowledges the challenges posed by AI but also harnesses its potential to enrich and advance business education in preparing students for an AI-driven future.",10.1145/3645057.3645059,https://doi.org/10.1145/3645057.3645059
Innovation and Entrepreneurship Education Platform in Vocational Colleges Based on Large Language Models,"Wang, Jue and He, Xiaolan",Proceedings of the 2024 9th International Conference on Intelligent Information Processing,2024,"Digital productivity has become an important feature of new quality productive forces. Innovation and entrepreneurship education (IEE) in vocational colleges is an important component of China's higher education system.  Many scholars believe that the digital development of innovation and entrepreneurship in colleges will ultimately form a comprehensive digital ecosystem, in which digital platforms will play an important role. It is found that the application of digital technology on existing platforms is insufficient, digital resources are difficult to acquire, platforms lake correlation, and application platforms become formalistic. A comprehensive digital platform for innovation and entrepreneurship education in vocational colleges is constructed to solve the existing problems of platform digitalization. The application of the Large Language Models (LLMs) can enable the platform to process a large amount of text data. This article uses ChatGPT 4o as a representative for text sample processing, demonstrating the superiority of the model in platform applications. The digital development of platforms helps vocational colleges integrate into the digital ecosystem in the field of innovation and entrepreneurship education.",10.1145/3696952.3696992,https://doi.org/10.1145/3696952.3696992
Unraveling the Impact of ChatGPT as a Knowledge Anchor in Business Education,"George, Amrita and Storey, Veda Catherine and Hong, Shuguang",ACM Trans. Manage. Inf. Syst.,2025,"The emergence of Large Language Models (LLM), such as ChatGPT, is considered a productivity revolution in many areas of business and society. For a classroom setting, especially, it would be useful to understand whether, and how, to incorporate ChatGPT, similar to any other productivity revolution technology, such as calculators or a Google search engine. Although there are concerns regarding the use of LLMs in business education, the positive or negative impact of LLM use is not well-understood. In this research, we examine the substitution and complementarity effects of using ChatGPT in business curricula on learning outcomes and well-being in a socially supportive learning environment. Specifically, we examine whether technology anchors impact students’ goal orientation, learning outcomes, and well-being by conducting an empirical study with students majoring in Information Systems. Our analysis reveals that a technology anchor (computer playfulness) can complement the effects of social support on learning outcomes, while enhancing well-being for simple tasks. Students’ well-being and learning outcomes are hindered by LLM use (specifically, the computer anxiety anchor), substituting social support for simple and difficult tasks. These findings have implications for educational institutions that are assessing how to incorporate LLMs into business curricula.",10.1145/3705734,https://doi.org/10.1145/3705734
Generative AI Integrated Educational Model for User-Centered Design,"Wu, Yanan and Zeng, Xiaoping and Lin, Qibei",Proceedings of the 2024 3rd International Conference on Artificial Intelligence and Education,2025,"The advent of artificial intelligence (AI) has profoundly transformed the educational landscape. Many educators are exploring how AI tools can enhance learning instructional programs. However, there is less focus on how its application within design education—particularly when teaching user-centered design. This study developed an educational model utilizing AI for user-centered design curriculum. Based on design thinking theory, this model integrates ChatGPT and Midjourney into the divergent and convergent design phases to facilitate the workflow. The empirical research showed that educational model can foster students’ creativity and problem-solving skills. The findings highlight the efficacy of AI integration in curricula design and instructional practices.",10.1145/3722237.3722260,https://doi.org/10.1145/3722237.3722260
Exploring the Potential of Generative AI for Supporting Middle-Aged Individuals in Retirement Transitions,"Park, Minseo and Lim, Youn-kyung",Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,2025,"The widespread adoption of Generative AI (GenAI) has fueled research exploring applications across diverse age groups and domains. However, its potential to support individuals in retirement transitions remains underexplored. This study aims to uncover the potential of GenAI in this context by examining its current and anticipated roles through semi-structured interviews with 10 middle-aged individuals navigating retirement transitions. The findings highlight three key roles of GenAI as an identity navigator, self-actualization facilitator, and connection catalyst. Building on the findings, the study identifies novel design opportunities for GenAI-based systems that assist an integrated journey from self-discovery to self-actualization, and support both direct and indirect connection to the world. The research aims to inspire the HCI community to further investigate these new design possibilities and attract attention to the unique context of retirement transition.",10.1145/3706599.3720145,https://doi.org/10.1145/3706599.3720145
The Social Impact of Generative AI: An Analysis on ChatGPT,"Baldassarre, Maria Teresa and Caivano, Danilo and Fernandez Nieto, Berenice and Gigante, Domenico and Ragone, Azzurra",Proceedings of the 2023 ACM Conference on Information Technology for Social Good,2023,"In recent months, the impact of Artificial Intelligence (AI) on citizens’ lives has gained considerable public interest, driven by the emergence of Generative AI models, ChatGPT in particular. The rapid development of these models has sparked heated discussions regarding their benefits, limitations, and associated risks. Generative models hold immense promise across multiple domains, such as healthcare, finance, and education, to cite a few, presenting diverse practical applications. Nevertheless, concerns about potential adverse effects have elicited divergent perspectives, ranging from privacy risks to escalating social inequality. This paper adopts a methodology to delve into the societal implications of Generative AI tools, focusing primarily on the case of ChatGPT. It evaluates the potential impact on several social sectors and illustrates the findings of a comprehensive literature review of both positive and negative effects, emerging trends, and areas of opportunity of Generative AI models. This analysis aims to facilitate an in-depth discussion by providing insights that can inspire policy, regulation, and responsible development practices to foster a citizen-centric AI.",10.1145/3582515.3609555,https://doi.org/10.1145/3582515.3609555
Introduction to the Special Issue on ChatGPT and other Generative AI Commentaries: AI Augmentation in Government 4.0: AI Augmentation in Government 4.0,"Chun, Soon Ae and Noveck, Beth S.",Digit. Gov.: Res. Pract.,2025,"This special issue is for providing a forum for rapid sharing of current and potential transformations and disruptions that may be enabled by GenAI in the government domain. The main objectives of the Special Issue are: to gauge the potential impact of powerful GenAI tools, such as ChatGPT, Gemini, Co-Pilot, and MetaAI, for the future government and democracy, including negative and positive effects; to assess the role of the Government in the face of proliferation of GenAI tools as a potential facilitator of innovations towards a better society or as regulator to harness the new generation of AI and to mitigate risks; and lastly, to envision how the public sector workplace may need to adapt to the changes, identifying top priority requirements and strategies for the new governing models.",10.1145/3716859,https://doi.org/10.1145/3716859
Empowering Innovation and Entrepreneurship Education in Universities through AI: A Case Study of a Tourism Platform Powered by the ELO Algorithm,"Jiang, Jiantao and Xu, Yaxiong and Ma, Jingjing and Chen, Fangbin and Zhang, Wenqing",Proceedings of the 2024 3rd International Conference on Artificial Intelligence and Education,2025,"With the rapid development of artificial intelligence technology, its application in the field of innovation and entrepreneurship education is showing unprecedented potential. This paper takes the design of intelligent tourism platform based on ELO algorithm as an example to explore how artificial intelligence promotes innovation and entrepreneurship education for college students. By combining data analysis, personalized recommendation and intelligent matching, AI not only optimizes the allocation of teaching and learning resources, but also promotes students' innovation ability and entrepreneurial practice. The study shows that the application of ELO algorithm in travel platforms can accurately match travel demand and make tourism platform more competitive, at the same time, it can enhance students' innovation ability. This study provides new perspectives and practical paths for the further application of artificial intelligence in education, especially in cultivating college students' innovative and entrepreneurial abilities.",10.1145/3722237.3722390,https://doi.org/10.1145/3722237.3722390
