Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Generative AI and Usage in Marketing Classroom,Customer Needs and Solutions,,,,10.1007/s40547-024-00145-2,Min DingSongting DongRajdeep Grewal,2024,https://link.springer.com/article/10.1007/s40547-024-00145-2,Article
Current Trends and Future Prospects of Large-Scale Foundation Model in K-12 Education,Frontiers of Digital Education,,,,10.1007/s44366-025-0059-6,Qiannan ZhuMei WangTing ZhangHua Huang,2025,https://link.springer.com/article/10.1007/s44366-025-0059-6,Article
Entrepreneurship teaching exercises: integrating generative AI,Discover Education,,,,10.1007/s44217-024-00261-0,Jamey A. DarnellShalini Gopalkrishnan,2024,https://link.springer.com/article/10.1007/s44217-024-00261-0,Article
"Applications of ChatGPT in the diagnosis, management, education, and research of retinal diseases: a scoping review",International Journal of Retina and Vitreous,,,,10.1186/s40942-024-00595-9,Victor C. F. BellandaMateus Lins dos SantosDaniel Araujo FerrazRodrigo JorgeGustavo Barreto Melo,2024,https://link.springer.com/article/10.1186/s40942-024-00595-9,Article
Large Language Models (LLMs) and Generative Artificial Intelligence (GenAI),Natural Language Processing,,,,10.1007/978-981-96-3208-4_10,Raymond Lee,2025,https://link.springer.com/chapter/10.1007/978-981-96-3208-4_10,Chapter
An Adaptive Simulated Startup Financial Modeling Mentor Using a&#xa0;Large Language Model to&#xa0;Address Shortages in&#xa0;Skilled Advisors: Architecture and&#xa0;Design Considerations,Adaptive Instructional Systems,,,,10.1007/978-3-031-92967-0_4,Joseph Benjamin IlaganJose Ramon IlaganLois Abigail ToZachary Matthew Alabastro,2025,https://link.springer.com/chapter/10.1007/978-3-031-92967-0_4,Conference paper
How to intelligently embrace generative AI: the first guardrails for the use of GenAI in IB research,Journal of International Business Studies,,,,10.1057/s41267-024-00736-0,Andrew DeliosRosalie L. TungArjen van Witteloostuijn,2024,https://link.springer.com/article/10.1057/s41267-024-00736-0,Article
Evolution of Learning: Assessing the Transformative Impact of Generative AI on Higher Education,Frontiers of Digital Education,,,,10.1007/s44366-025-0058-7,Stefanie KrauseBhumi Hitesh PanchalNikhil Ubhe,2025,https://link.springer.com/article/10.1007/s44366-025-0058-7,Article
Pedagogical Applications of Generative AI in Higher Education: A Systematic Review of the Field,TechTrends,,,,10.1007/s11528-025-01100-1,Yufeng Qian,2025,https://link.springer.com/article/10.1007/s11528-025-01100-1,Article
"From ideas to ventures: building entrepreneurship knowledge with LLM, prompt engineering, and conversational agents",Education and Information Technologies,,,,10.1007/s10639-024-12775-z,Marsela Thanasi-BoçeJulian Hoxha,2024,https://link.springer.com/article/10.1007/s10639-024-12775-z,Article
"Public attitudes toward chatgpt on twitter: sentiments, topics, and occupations",Social Network Analysis and Mining,,,,10.1007/s13278-024-01260-7,Ratanond KoonchanokYanling PanHyeju Jang,2024,https://link.springer.com/article/10.1007/s13278-024-01260-7,Article
The role of generative AI in improving the sustainability and efficiency of HR recruitment process,Discover Sustainability,,,,10.1007/s43621-025-01484-3,Réka KoteczkiDániel CsikorBoglárka Eisinger Balassa,2025,https://link.springer.com/article/10.1007/s43621-025-01484-3,Article
Leveraging Generative AI Models in Urban Science,Principles and Advances in Population Neuroscience,,,,10.1007/7854_2024_482,J. Balsa-BarreiroM. CebriánM. MenéndezK. Axhausen,2024,https://link.springer.com/chapter/10.1007/7854_2024_482,Chapter
Comparative analysis of ChatGPT 3.5 and ChatGPT 4 obstetric and gynecological knowledge,Scientific Reports,,,,10.1038/s41598-025-08424-1,Franciszek ŁugowskiJulia BabińskaArtur LudwinPaweł Jan Stanirowski,2025,https://link.springer.com/article/10.1038/s41598-025-08424-1,Article
Poietic symbiosis or algorithmic subjugation: generative AI technology in marketing communications education,Education and Information Technologies,,,,10.1007/s10639-024-12877-8,Gulnara Z. KarimovaYevgeniya D. KimAmir Shirkhanbeik,2024,https://link.springer.com/article/10.1007/s10639-024-12877-8,Article
Chatbot development strategies: a review of current studies and applications,Knowledge and Information Systems,,,,10.1007/s10115-025-02462-x,Gulsum YigitRabia Bayraktar,2025,https://link.springer.com/article/10.1007/s10115-025-02462-x,Article
University Teachers Reflections on the Use of Generative AI in Higher Education: An Exploratory Study,Learning and Collaboration Technologies,,,,10.1007/978-3-031-93567-1_12,Jeanette SjöbergNina Bergdahl,2025,https://link.springer.com/chapter/10.1007/978-3-031-93567-1_12,Conference paper
SmartGridAgent: An Educational Framework for Reliable Digital Twin-Based Smart Grid Workforce Training with Locally Hosted LLMs,Smart Grids and Sustainable Energy,,,,10.1007/s40866-025-00274-0,Ali ImanifardBabak MajidiAbdolah Shamisa,2025,https://link.springer.com/article/10.1007/s40866-025-00274-0,Article
Every Truth Has Two Sides: The Impact of ChatGPT on Law and Business Education,Creativity and Critique in Digital Learning and Teaching,,,,10.1007/978-3-031-68086-1_3,Liz HardieFrancine RyanJacqueline Baxter,2025,https://link.springer.com/chapter/10.1007/978-3-031-68086-1_3,Chapter
Comparative analysis of leading artificial intelligence chatbots in the context of entrepreneurship,Journal of Innovation and Entrepreneurship,,,,10.1186/s13731-025-00527-3,Firuz KamalovDavid Santandreu CalongePatrik T. HultbergLinda SmailDima Jamali,2025,https://link.springer.com/article/10.1186/s13731-025-00527-3,Article
Interactive computer-aided diagnosis on medical image using large language models,Communications Engineering,,,,10.1038/s44172-024-00271-8,Sheng WangZihao ZhaoXi OuyangTianming LiuQian WangDinggang Shen,2024,https://link.springer.com/article/10.1038/s44172-024-00271-8,Article
Need a Guide by My Side Not a Sage on Stage: ChatGPT in Learning,ICT Analysis and Applications,,,,10.1007/978-981-97-8602-2_13,Pradnya Vishwas ChitraoPravin Kumar BhoyarRajiv Divekar,2025,https://link.springer.com/chapter/10.1007/978-981-97-8602-2_13,Conference paper
Field Note: A Case Study of Generative AI Responses Concerning Infrared Reflectance of Evergreen Coniferous and Broadleaf Deciduous Trees During Summer,Journal of Forestry,,,,10.1007/s44392-025-00023-2,Pete BettingerFred Maier,2025,https://link.springer.com/article/10.1007/s44392-025-00023-2,Article
"Generative Artificial Intelligence (GenAI) in entrepreneurial education and practice: emerging insights, the GAIN Framework, and research agenda",International Entrepreneurship and Management Journal,,,,10.1007/s11365-025-01089-2,Yogesh K. Dwivedi,2025,https://link.springer.com/article/10.1007/s11365-025-01089-2,Article
Turning Large Language Models into&#xa0;AI Assistants for&#xa0;Startups Using Prompt Patterns,Agile Processes in Software Engineering and Extreme Programming – Workshops,,,,10.1007/978-3-031-48550-3_19,Xiaofeng WangMohammad Idris AttalUsman RafiqSylvia Hubner-Benz,2024,https://link.springer.com/chapter/10.1007/978-3-031-48550-3_19,Conference paper
Fostering entrepreneurial success from the classroom: unleashing the potential of generative AI through technology-to-performance chain. A multi-case study approach,Education and Information Technologies,,,,10.1007/s10639-025-13316-y,Giulio Marchena SekliMay Portuguez-Castro,2025,https://link.springer.com/article/10.1007/s10639-025-13316-y,Article
ChatGPT and ethics in healthcare facilities: an overview and innovations in technical efficiency analysis,AI and Ethics,,,,10.1007/s43681-025-00672-1,Er-Rays YoussefM’dioud MeriemHamid Ait-Lemqeddem,2025,https://link.springer.com/article/10.1007/s43681-025-00672-1,Article
Augmenting Student Startups’ Customer Validation Efforts Through Adaptive Coaching Using Large Language Models,"HCI in Business, Government and Organizations",,,,10.1007/978-3-031-92823-9_14,Lois Abigail ToZachary Matthew AlabastroJoseph Benjamin IlaganJose Ramon Ilagan,2025,https://link.springer.com/chapter/10.1007/978-3-031-92823-9_14,Conference paper
Eight Months into Reality: A Scoping Review of the Application of ChatGPT in Higher Education Teaching and Learning,Innovative Higher Education,,,,10.1007/s10755-025-09790-4,Qian LiuAnjin HuTehmina GladmanSteve Gallagher,2025,https://link.springer.com/article/10.1007/s10755-025-09790-4,Article
"Students’ voices on generative AI: perceptions, benefits, and challenges in higher education",International Journal of Educational Technology in Higher Education,,,,10.1186/s41239-023-00411-8,Cecilia Ka Yuk ChanWenjie Hu,2023,https://link.springer.com/article/10.1186/s41239-023-00411-8,Article
Personalization capabilities of current technology chatbots in a learning environment: An analysis of student-tutor bot interactions,Education and Information Technologies,,,,10.1007/s10639-025-13369-z,Chee-Kit LooiFenglin Jia,2025,https://link.springer.com/article/10.1007/s10639-025-13369-z,Article
Questions for GenAI: Integrity During the Preparation and Assessment of Educational Tasks,"Artificial Intelligence, Pedagogy and Academic Integrity",,,,10.1007/978-3-031-92534-4_8,Artem ArtyukhovOleksandr Khyzhniak,2025,https://link.springer.com/chapter/10.1007/978-3-031-92534-4_8,Chapter
"Unveiling the landscape of generative artificial intelligence in education: a comprehensive taxonomy of applications, challenges, and future prospects",Education and Information Technologies,,,,10.1007/s10639-024-12936-0,Agariadne Dwinggo SamalaSoha RawasTianchong WangJanet Marie ReedJinhee KimNatalie-Jane HowardMyriam Ertz,2024,https://link.springer.com/article/10.1007/s10639-024-12936-0,Article
